u.nom_usuario;m.tit_musica;r.nota_avaliacao;r.data_avaliacao
[Adriana Cunha];[ guas de mar o];10;2023-06-28
[Adriana Cunha];[(Da Le) Yaleo];7;2023-01-07
[Adriana Cunha];[(Get Off Your) High Horse Lady];5;2020-12-27
[Adriana Cunha];[(Get Your Kicks On) Route 66];5;2022-01-09
[Adriana Cunha];[(I Won't) Pay Your Price];8;2021-09-24
[Adriana Cunha];[(It's Good) To Be Free];5;2025-03-02
[Adriana Cunha];[(Let Me Be Your) Teddy Bear];5;2024-02-29
[Adriana Cunha];[(Now and Then There's) a Fool Such as I];5;2024-07-25
[Adriana Cunha];[(Untitled)];5;2023-09-11
[Adriana Cunha];[11 O'Clock Tick Tock];9;2024-06-03
[Adriana Cunha];[15 Step];5;2024-03-25
[Adriana Cunha];[17 Again];7;2024-05-11
[Adriana Cunha];[2];10;2024-09-20
[Adriana Cunha];[2 + 2 = 5];5;2025-12-08
[Adriana Cunha];[2 Bad];5;2025-02-21
[Adriana Cunha];[2 X 4];6;2024-01-15
[Adriana Cunha];[21 Things I Want in a Lover];7;2022-01-10
[Adriana Cunha];[21st Century];6;2024-10-04
[Adriana Cunha];[4 Minutes];5;2021-06-10
[Adriana Cunha];[42];8;2020-08-14
[Adriana Cunha];[A Bell Will Ring];5;2021-05-25
[Adriana Cunha];[A Day Without Me];5;2024-03-25
[Adriana Cunha];[A Feira];5;2021-10-19
[Adriana Cunha];[A Flight and a Crash];6;2025-05-15
[Adriana Cunha];[A Fool for You];5;2025-07-09
[Adriana Cunha];[A Girl Like Me];5;2021-04-18
[Adriana Cunha];[A Kiss to Build a Dream On];5;2021-05-27
[Adriana Cunha];[A Man and a Woman];6;2023-09-13
[Adriana Cunha];[A Message];6;2022-11-08
[Adriana Cunha];[A Million Miles Away];5;2024-09-20
[Adriana Cunha];[A New Day Has Come];7;2021-04-16
[Adriana Cunha];[A Quick Peep];5;2025-01-24
[Adriana Cunha];[A Reminder];9;2025-01-29
[Adriana Cunha];[A Rush of Blood to the Head];5;2022-01-23
[Adriana Cunha];[A Saucerful of Secrets];6;2021-04-11
[Adriana Cunha];[A Song for You];7;2025-07-21
[Adriana Cunha];[A Wish For Something More];5;2025-07-16
[Adriana Cunha];[A Woman Left Lonely];5;2025-01-28
[Adriana Cunha];[ACDC];9;2024-09-03
[Adriana Cunha];[Absolutely Sweet Marie];5;2022-01-09
[Adriana Cunha];[Aces High];5;2020-12-16
[Adriana Cunha];[Acquiesce];5;2022-10-28
[Adriana Cunha];[Action This Day];9;2025-12-15
[Adriana Cunha];[Adam's Apple];5;2020-12-03
[Adriana Cunha];[Addiction];5;2020-10-19
[Adriana Cunha];[Adeste];5;2023-04-05
[Adriana Cunha];[Adonai];7;2022-12-16
[Adriana Cunha];[Aero Zeppelin];9;2023-05-26
[Adriana Cunha];[Aeroplane];7;2021-01-22
[Adriana Cunha];[Africa Unite];5;2022-08-22
[Adriana Cunha];[Again];5;2023-06-14
[Adriana Cunha];[Against All Odds];7;2023-06-27
[Adriana Cunha];[Age Of Innocence];9;2025-09-04
[Adriana Cunha];[Ain't Got Nothin'];5;2022-05-21
[Adriana Cunha];[Ain't That a Bitch];10;2023-02-01
[Adriana Cunha];[Airbag];9;2020-08-10
[Adriana Cunha];[Alberta];5;2020-08-08
[Adriana Cunha];[Aldebaran];6;2022-12-13
[Adriana Cunha];[Alejandro];9;2025-08-24
[Adriana Cunha];[Alexander the Great];9;2024-03-05
[Adriana Cunha];[Alive];8;2025-03-27
[Adriana Cunha];[All Along the Watchtower];10;2020-12-20
[Adriana Cunha];[All Apologies];7;2021-03-24
[Adriana Cunha];[All Around the World];5;2020-11-05
[Adriana Cunha];[All At Once];10;2025-06-20
[Adriana Cunha];[All Because of You];7;2024-10-28
[Adriana Cunha];[All Day];10;2021-06-23
[Adriana Cunha];[All I Need];7;2023-01-16
[Adriana Cunha];[All I Want for Christmas Is You];5;2022-02-08
[Adriana Cunha];[All My Love];5;2024-02-01
[Adriana Cunha];[All My Tomorrows];6;2023-01-24
[Adriana Cunha];[All Night Long (All Night)];10;2021-05-17
[Adriana Cunha];[All Shook Up];5;2021-07-21
[Adriana Cunha];[All The Tired Horses];8;2025-04-09
[Adriana Cunha];[All The Young Dudes];5;2021-03-09
[Adriana Cunha];[All Those Yesterdays];5;2025-08-07
[Adriana Cunha];[All Your Friends];5;2021-05-15
[Adriana Cunha];[All by Myself];5;2024-01-31
[Adriana Cunha];[Almost Like Being In Love];8;2021-09-03
[Adriana Cunha];[Always Be My Baby];5;2023-11-19
[Adriana Cunha];[Always On My Mind];5;2026-01-14
[Adriana Cunha];[Always on My Mind];9;2024-07-21
[Adriana Cunha];[Always on the Run];5;2020-12-12
[Adriana Cunha];[Amazing];9;2020-08-09
[Adriana Cunha];[America The Beautiful];8;2023-06-21
[Adriana Cunha];[American];7;2021-07-13
[Adriana Cunha];[American Tune];5;2023-10-21
[Adriana Cunha];[Americano];7;2025-06-21
[Adriana Cunha];[Amp];8;2025-07-02
[Adriana Cunha];[An Cat Dubh];5;2021-05-16
[Adriana Cunha];[Angel of Harlem];5;2025-02-02
[Adriana Cunha];[Anos dourados];10;2024-07-31
[Adriana Cunha];[Another Brick in the Wall (Part 2)];9;2025-05-13
[Adriana Cunha];[Another Life];8;2021-03-14
[Adriana Cunha];[Another One Bites the Dust];8;2025-09-16
[Adriana Cunha];[Another Time];5;2023-08-06
[Adriana Cunha];[Antisaint];5;2020-10-26
[Adriana Cunha];[Anything Goes];5;2024-01-20
[Adriana Cunha];[Are You Lonesome Tonight];5;2021-02-22
[Adriana Cunha];[Arise];5;2023-05-10
[Adriana Cunha];[Arnold Layne];5;2021-06-19
[Adriana Cunha];[Around the Bend];6;2025-04-08
[Adriana Cunha];[As I Am (Intro)];5;2022-07-30
[Adriana Cunha];[Astronomy];5;2024-06-19
[Adriana Cunha];[Astronomy Domine];5;2022-05-20
[Adriana Cunha];[Astrosapiens];5;2025-12-20
[Adriana Cunha];[Atlantic];8;2023-07-05
[Adriana Cunha];[Atom Bomb];5;2024-09-06
[Adriana Cunha];[Attitude Adjustment];5;2024-08-22
[Adriana Cunha];[Aura];10;2021-07-14
[Adriana Cunha];[Avant Garden];5;2023-03-19
[Adriana Cunha];[Ave Maria];9;2021-02-27
[Adriana Cunha];[Baba];8;2025-03-10
[Adriana Cunha];[Baby];7;2023-09-04
[Adriana Cunha];[Baby Pain];5;2024-10-17
[Adriana Cunha];[Back Back Train];8;2025-12-09
[Adriana Cunha];[Back Off Boogaloo];10;2021-08-13
[Adriana Cunha];[Back in Business];5;2025-02-26
[Adriana Cunha];[Back in the Day];5;2024-08-24
[Adriana Cunha];[Back to Black];5;2024-04-06
[Adriana Cunha];[Backwoods];5;2025-04-01
[Adriana Cunha];[Bad];9;2021-11-20
[Adriana Cunha];[Bad Apples];7;2024-12-16
[Adriana Cunha];[Bad Boy Boogie];8;2025-12-22
[Adriana Cunha];[Bad Card];9;2025-02-15
[Adriana Cunha];[Bad Love];6;2024-09-01
[Adriana Cunha];[Bad News];5;2024-12-19
[Adriana Cunha];[Bad Obsession];5;2023-08-05
[Adriana Cunha];[Bag It Up];5;2022-03-20
[Adriana Cunha];[Bala Com Bala];5;2023-08-17
[Adriana Cunha];[Ballad of Hollis Brown];5;2023-05-20
[Adriana Cunha];[Banana Pancakes];10;2020-12-24
[Adriana Cunha];[Bang-A-Boomerang];6;2024-11-16
[Adriana Cunha];[Battery];6;2024-05-01
[Adriana Cunha];[Beat Goes On];9;2022-10-02
[Adriana Cunha];[Beat It];6;2023-12-22
[Adriana Cunha];[Beat on the Brat];6;2024-08-13
[Adriana Cunha];[Beautiful];5;2024-06-19
[Adriana Cunha];[Beautiful Day];5;2024-10-30
[Adriana Cunha];[Beautiful Stranger];9;2020-09-10
[Adriana Cunha];[Because You Loved Me];5;2021-12-13
[Adriana Cunha];"[Because You Loved Me (Theme from ""Up Close and Personal"")]";7;2023-10-20
[Adriana Cunha];[Bedshaped];9;2025-12-03
[Adriana Cunha];[Before You Accuse Me];5;2022-09-03
[Adriana Cunha];[Before You Accuse Me (Take a Look at Yourself)];5;2023-01-20
[Adriana Cunha];[Bermuda];8;2022-06-18
[Adriana Cunha];[Better Man];5;2021-01-14
[Adriana Cunha];[Better Together];10;2024-07-09
[Adriana Cunha];[Beyond the Horizon];10;2026-01-20
[Adriana Cunha];[Bicycle Race];5;2021-12-22
[Adriana Cunha];[Biding My Time];9;2022-08-04
[Adriana Cunha];[Big Balls];10;2021-06-27
[Adriana Cunha];[Big Gun];8;2020-10-29
[Adriana Cunha];[Big In Japan];5;2021-06-11
